approach,model,target,metric_type,MSE,RMSE,MAE,MAPE,SMAPE,R2,LOG_R2,accuracy,precision_macro,recall_macro,f1_macro,source_file,notes
Direct Aggregate Window Forecasting,SARIMA,interactive_count,,137.6816,,3.1437,39.0731,,-0.0401,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,interactive_count,,135.9789,,3.3143,74.6286,,-0.0272,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,interactive_count,,141.3173,,3.4459,88.8666,,-0.0676,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,interactive_count,,102.4653,,3.7649,146.7824,,0.2259,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,job_count,,150.4923,,3.6363,45.4808,,-0.0756,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,job_count,,137.2356,,3.786,86.2613,,0.0191,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,job_count,,145.8117,,3.9781,105.0663,,-0.0422,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,job_count,,106.3822,,5.2108,246.6142,,0.2396,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,memory_request_sum,,6118612.6552,,813.812,178.1559,,-0.0571,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,memory_request_sum,,5584353.5138,,815.8198,294.6889,,0.0352,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
