job_id,arrival_offset_seconds,job_type,required_cpu,required_memory,expected_duration_seconds,role,app_name
pred_000154,3696.0,interactive,64.0,320.0,829.47,cn,app_87
pred_000155,3720.0,interactive,64.0,320.0,815.5,cn,app_87
pred_000156,3744.0,interactive,64.0,320.0,807.73,cn,app_87
pred_000157,3768.0,interactive,64.0,320.0,832.64,cn,app_87
pred_000158,3792.0,interactive,64.0,320.0,813.57,cn,app_87
pred_000159,3816.0,interactive,64.0,320.0,830.68,cn,app_87
pred_000160,3840.0,interactive,64.0,320.0,826.53,cn,app_87
pred_000161,3864.0,interactive,64.0,320.0,818.65,cn,app_87
pred_000162,3888.0,interactive,64.0,320.0,832.64,cn,app_87
pred_000163,3912.0,interactive,64.0,320.0,813.57,cn,app_87
pred_000164,3936.0,interactive,64.0,320.0,825.85,cn,app_87
pred_000165,3960.0,interactive,64.0,320.0,826.53,cn,app_87
pred_000166,3984.0,interactive,64.0,320.0,818.65,cn,app_87
pred_000167,4008.0,interactive,64.0,320.0,845.45,cn,app_87
pred_000168,4032.0,interactive,64.0,320.0,826.09,cn,app_87
pred_000169,4056.0,interactive,64.0,320.0,838.55,cn,app_87
pred_000170,4080.0,interactive,64.0,320.0,839.25,cn,app_87
pred_000171,4104.0,interactive,64.0,320.0,831.25,cn,app_87
pred_000172,4128.0,interactive,64.0,320.0,824.6,cn,app_87
pred_000173,4152.0,interactive,64.0,320.0,805.72,cn,app_87
pred_000174,4176.0,interactive,64.0,320.0,817.88,cn,app_87
pred_000175,4200.0,interactive,64.0,320.0,818.56,cn,app_87
pred_000176,4224.0,interactive,64.0,320.0,810.75,cn,app_87
pred_000177,4248.0,interactive,64.0,320.0,825.89,cn,app_87
pred_000178,4272.0,interactive,64.0,320.0,806.98,cn,app_87
pred_000179,4296.0,interactive,64.0,320.0,819.16,cn,app_87
pred_000180,4320.0,interactive,64.0,320.0,819.84,cn,app_87
pred_000181,4344.0,interactive,64.0,320.0,812.02,cn,app_87
pred_000182,4368.0,interactive,64.0,320.0,825.89,cn,app_87
pred_000183,4392.0,interactive,64.0,320.0,806.98,cn,app_87
pred_000184,4416.0,interactive,64.0,320.0,819.16,cn,app_87
pred_000185,4440.0,interactive,64.0,320.0,825.28,cn,app_87
pred_000186,4464.0,interactive,64.0,320.0,817.41,cn,app_87
pred_000187,4488.0,interactive,64.0,320.0,831.38,cn,app_87
pred_000188,4512.0,interactive,64.0,320.0,812.34,cn,app_87
pred_000189,4536.0,interactive,64.0,320.0,824.6,cn,app_87
pred_000190,4560.0,interactive,64.0,320.0,825.28,cn,app_87
pred_000191,4584.0,interactive,64.0,320.0,817.41,cn,app_87
pred_000192,4608.0,interactive,64.0,320.0,831.38,cn,app_87
pred_000193,4632.0,interactive,64.0,320.0,812.34,cn,app_87
pred_000194,4656.0,interactive,64.0,320.0,824.6,cn,app_87
pred_000195,4680.0,interactive,64.0,320.0,825.28,cn,app_87
pred_000196,4704.0,interactive,64.0,320.0,817.41,cn,app_87
pred_000197,4728.0,interactive,64.0,320.0,831.38,cn,app_87
pred_000198,4752.0,interactive,64.0,320.0,812.34,cn,app_87
pred_000199,4776.0,interactive,64.0,320.0,824.6,cn,app_87
pred_000200,4800.0,interactive,64.0,320.0,825.28,cn,app_87
pred_000201,4824.0,interactive,64.0,320.0,817.41,cn,app_87
pred_000202,4848.0,interactive,64.0,320.0,831.38,cn,app_87
pred_000203,4872.0,interactive,64.0,320.0,812.34,cn,app_87
pred_000204,4896.0,interactive,64.0,320.0,824.6,cn,app_87
pred_000205,4920.0,interactive,64.0,320.0,854.1,cn,app_87
pred_000206,4944.0,interactive,64.0,320.0,845.95,cn,app_87
pred_000207,4968.0,interactive,64.0,320.0,849.6,cn,app_87
pred_000208,4992.0,interactive,64.0,320.0,830.15,cn,app_87
pred_000209,5016.0,interactive,64.0,320.0,842.67,cn,app_87
pred_000210,5040.0,interactive,64.0,320.0,843.37,cn,app_87
pred_000211,5064.0,interactive,64.0,320.0,835.33,cn,app_87
pred_000212,5088.0,interactive,64.0,320.0,849.6,cn,app_87
pred_000213,5112.0,interactive,64.0,320.0,830.15,cn,app_87
pred_000214,5136.0,interactive,64.0,320.0,842.67,cn,app_87
pred_000215,5160.0,interactive,64.0,320.0,843.37,cn,app_87
pred_000216,5184.0,interactive,64.0,320.0,835.33,cn,app_87
pred_000217,5208.0,interactive,64.0,320.0,852.06,cn,app_87
pred_000218,5232.0,interactive,64.0,320.0,832.56,cn,app_87
pred_000219,5256.0,interactive,64.0,320.0,845.11,cn,app_87
pred_000220,5280.0,interactive,64.0,320.0,845.82,cn,app_87
pred_000221,5304.0,interactive,64.0,320.0,837.75,cn,app_87
pred_000222,5328.0,interactive,64.0,320.0,852.06,cn,app_87
pred_000223,5352.0,interactive,64.0,320.0,832.56,cn,app_87
pred_000224,5376.0,interactive,64.0,320.0,845.11,cn,app_87
pred_000225,5400.0,interactive,64.0,320.0,845.82,cn,app_87
pred_000226,5424.0,interactive,64.0,320.0,837.75,cn,app_87
pred_000227,5448.0,interactive,64.0,320.0,852.06,cn,app_87
pred_000228,5472.0,interactive,64.0,320.0,832.56,cn,app_87
pred_000229,5496.0,interactive,64.0,320.0,845.11,cn,app_87
pred_000230,5520.0,interactive,64.0,320.0,867.86,cn,app_87
pred_000231,5544.0,interactive,64.0,320.0,859.58,cn,app_87
pred_000232,5568.0,interactive,64.0,320.0,874.27,cn,app_87
pred_000233,5592.0,interactive,64.0,320.0,854.25,cn,app_87
pred_000234,5616.0,interactive,64.0,320.0,872.21,cn,app_87
pred_000235,5640.0,interactive,64.0,320.0,867.86,cn,app_87
pred_000236,5664.0,interactive,64.0,320.0,859.58,cn,app_87
pred_000237,5688.0,interactive,64.0,320.0,874.27,cn,app_87
pred_000238,5712.0,interactive,64.0,320.0,854.25,cn,app_87
pred_000239,5736.0,interactive,64.0,320.0,872.21,cn,app_87
pred_000240,5760.0,interactive,64.0,320.0,867.86,cn,app_87
pred_000241,5784.0,interactive,64.0,320.0,859.58,cn,app_87
pred_000242,5808.0,interactive,64.0,320.0,879.13,cn,app_87
pred_000243,5832.0,interactive,64.0,320.0,859.0,cn,app_87
pred_000244,5856.0,interactive,64.0,320.0,877.06,cn,app_87
pred_000245,5880.0,interactive,64.0,320.0,869.93,cn,app_87
pred_000246,5904.0,interactive,64.0,320.0,864.36,cn,app_87
pred_000247,5928.0,interactive,64.0,320.0,873.02,cn,app_87
pred_000248,5952.0,interactive,64.0,320.0,855.73,cn,app_87
pred_000249,5976.0,interactive,64.0,320.0,873.72,cn,app_87
pred_000250,6000.0,interactive,64.0,320.0,869.74,cn,app_87
pred_000251,6024.0,interactive,64.0,320.0,861.45,cn,app_87
pred_000252,6048.0,interactive,64.0,320.0,844.11,cn,app_87
pred_000253,6072.0,interactive,64.0,320.0,824.79,cn,app_87
pred_000254,6096.0,interactive,64.0,320.0,842.13,cn,app_87
pred_000255,6120.0,interactive,64.0,320.0,826.06,cn,app_87
pred_000256,6144.0,interactive,64.0,320.0,818.19,cn,app_87
pred_000257,6168.0,interactive,64.0,320.0,832.16,cn,app_87
pred_000258,6192.0,interactive,64.0,320.0,813.11,cn,app_87
pred_000259,6216.0,interactive,64.0,320.0,830.2,cn,app_87
pred_000260,6240.0,interactive,64.0,320.0,826.06,cn,app_87
pred_000261,6264.0,interactive,64.0,320.0,818.19,cn,app_87
pred_000262,6288.0,interactive,64.0,320.0,832.16,cn,app_87
pred_000263,6312.0,interactive,64.0,320.0,813.11,cn,app_87
pred_000264,6336.0,interactive,64.0,320.0,830.2,cn,app_87
pred_000265,6360.0,interactive,64.0,320.0,826.06,cn,app_87
pred_000266,6384.0,interactive,64.0,320.0,818.19,cn,app_87
pred_000267,6408.0,interactive,64.0,320.0,832.16,cn,app_87
pred_000268,6432.0,interactive,64.0,320.0,813.11,cn,app_87
pred_000269,6456.0,interactive,64.0,320.0,830.2,cn,app_87
pred_000270,6480.0,interactive,64.0,320.0,831.79,cn,app_87
pred_000271,6504.0,interactive,64.0,320.0,823.86,cn,app_87
pred_000272,6528.0,interactive,64.0,320.0,837.93,cn,app_87
pred_000273,6552.0,interactive,64.0,320.0,818.75,cn,app_87
pred_000274,6576.0,interactive,64.0,320.0,835.96,cn,app_87
pred_000275,6600.0,interactive,64.0,320.0,831.79,cn,app_87
pred_000276,6624.0,interactive,64.0,320.0,823.86,cn,app_87
