role,app_name,job_type,count,probability
hn,app_50,interactive,11,0.0010411736867013725
hn,app_52,batch,7,0.0006625650733554188
hn,app_52,interactive,6,0.0005679129200189305
hn,app_53,batch,5,0.000473260766682442
hn,app_53,interactive,3,0.00028395646000946523
hn,app_54,batch,16,0.0015144344533838145
hn,app_54,interactive,6,0.0005679129200189305
hn,app_55,batch,10,0.000946521533364884
hn,app_55,interactive,4,0.0003786086133459536
hn,app_56,batch,1,9.46521533364884e-05
hn,app_57,batch,18,0.0017037387600567914
hn,app_57,interactive,2,0.0001893043066729768
hn,app_6,interactive,110,0.010411736867013724
hn,app_60,batch,5,0.000473260766682442
hn,app_60,interactive,3,0.00028395646000946523
hn,app_61,batch,2,0.0001893043066729768
hn,app_61,interactive,2,0.0001893043066729768
hn,app_62,batch,39,0.003691433980123048
hn,app_62,interactive,9,0.0008518693800283957
hn,app_64,batch,5,0.000473260766682442
hn,app_64,interactive,4,0.0003786086133459536
hn,app_66,batch,3,0.00028395646000946523
hn,app_67,batch,2,0.0001893043066729768
hn,app_68,batch,2,0.0001893043066729768
hn,app_68,interactive,1,9.46521533364884e-05
hn,app_69,interactive,1,9.46521533364884e-05
hn,app_72,interactive,3,0.00028395646000946523
hn,app_73,batch,2,0.0001893043066729768
hn,app_73,interactive,18,0.0017037387600567914
hn,app_74,batch,1,9.46521533364884e-05
hn,app_74,interactive,1,9.46521533364884e-05
hn,app_75,batch,16,0.0015144344533838145
hn,app_75,interactive,2,0.0001893043066729768
hn,app_76,batch,1,9.46521533364884e-05
hn,app_76,interactive,5,0.000473260766682442
hn,app_77,batch,20,0.001893043066729768
hn,app_77,interactive,22,0.002082347373402745
hn,app_78,batch,3,0.00028395646000946523
hn,app_78,interactive,4,0.0003786086133459536
hn,app_82,batch,4,0.0003786086133459536
hn,app_82,interactive,3,0.00028395646000946523
hn,app_86,batch,76,0.007193563653573118
hn,app_86,interactive,107,0.01012778040700426
hn,app_87,batch,3,0.00028395646000946523
hn,app_87,interactive,5,0.000473260766682442
hn,app_88,batch,1,9.46521533364884e-05
hn,app_89,batch,42,0.003975390440132513
hn,app_89,interactive,17,0.001609086606720303
hn,app_90,batch,5,0.000473260766682442
hn,app_90,interactive,3,0.00028395646000946523
hn,app_91,batch,8,0.0007572172266919072
hn,app_91,interactive,12,0.001135825840037861
hn,app_93,batch,35,0.003312825366777094
hn,app_93,interactive,7,0.0006625650733554188
hn,app_95,batch,3,0.00028395646000946523
hn,app_95,interactive,1,9.46521533364884e-05
hn,app_98,batch,1,9.46521533364884e-05
hn,app_98,interactive,1,9.46521533364884e-05
hn,app_99,batch,2,0.0001893043066729768
hn,app_99,interactive,4,0.0003786086133459536
