scenario,slot,time,demand,served_load,active_servers,PIT_W,Pcool_W,Ptot_W,PUE,COP
high_energy_cost_50pct,33,08:15,0.0,7.574199999999081,15,10.121434579999457,3.4004350539690247,15.021869633968482,1.4841640792356223,2.6756
high_energy_cost_50pct,34,08:30,0.0,7.0428999999990936,13,9.197209789999356,3.091622538944323,13.788832328943679,1.4992408180073322,2.6756
high_energy_cost_50pct,35,08:45,0.0,6.839699999999624,13,9.138789789999619,3.071971619524467,13.710761409524086,1.5002819546771364,2.6756
high_energy_cost_50pct,36,09:00,0.0,5.745899999999409,12,8.242422289999446,2.770457660038687,12.512879950038133,1.518107118246058,2.6756
high_energy_cost_50pct,37,09:15,0.0,5.136499999999472,11,7.485319789999465,2.515788707280433,11.501108497279898,1.536488596338343,2.6756
high_energy_cost_50pct,38,09:30,0.0,5.136499999999472,11,7.485319789999465,2.515788707280433,11.501108497279898,1.536488596338343,2.6756
high_energy_cost_50pct,39,09:45,0.0,4.499699999999706,11,7.302239789999532,2.4542055109880367,11.256445300987568,1.5415058426872463,2.6756
high_energy_cost_50pct,40,10:00,0.0,4.265299999999428,11,7.234849789999451,2.4315373244130356,11.166387114412487,1.543416579269897,2.6756
high_energy_cost_50pct,41,10:15,0.0,4.499700000002321,10,6.720339790000393,2.2584699750337727,10.478809765034166,1.559267848424306,2.6756
high_energy_cost_50pct,42,10:30,0.0,4.550499999999687,10,6.734944789999527,2.2633827048884685,10.498327494887995,1.5587844922614031,2.6756
high_energy_cost_50pct,43,10:45,0.0,5.573899999999725,10,7.0291722899996465,2.362352935864738,10.891525225864385,1.5494747854394864,2.6756
high_energy_cost_50pct,44,11:00,0.0,4.4373000000001355,10,6.702399789999765,2.2524354407235005,10.454835230723265,1.5598644602374028,2.6756
high_energy_cost_50pct,45,11:15,0.0,5.495899999999523,10,7.006747289999479,2.3548097679771054,10.861557057976585,1.5501568143436484,2.6756
high_energy_cost_50pct,46,11:30,0.0,5.296599999999543,10,6.932518339999595,2.329749566153252,10.762267906152847,1.5524326627534715,2.6756
high_energy_cost_50pct,47,11:45,0.0,4.917799999999488,10,6.891367499999578,2.3162740133052893,10.707641513304868,1.5537760122799318,2.6756
high_energy_cost_50pct,48,12:00,0.0,5.320199999999417,10,6.939303339999448,2.3320318579755988,10.771335197975047,1.5522214075708505,2.6756
high_energy_cost_50pct,49,12:15,0.0,4.812499999999517,10,6.810269789999587,2.2887200124082963,10.598989802407884,1.556324511250901,2.6756
high_energy_cost_50pct,50,12:30,0.0,4.992299999999403,10,6.861962289999829,2.3061079814620467,10.668070271461875,1.554667574756104,2.6756
high_energy_cost_50pct,51,12:45,0.0,5.398499999999757,10,6.978744789999931,2.345390478845845,10.824135268845776,1.5510146300744554,2.6756
high_energy_cost_50pct,52,13:00,0.0,5.398499999999757,10,6.978744789999931,2.345390478845845,10.824135268845776,1.5510146300744554,2.6756
high_energy_cost_50pct,53,13:15,0.0,6.039299999999898,12,8.326774789999968,2.798831576169821,12.625606366169789,1.516266103573799,2.6756
high_energy_cost_50pct,54,13:30,0.0,6.730699999999814,12,8.525552289999561,2.865694989983412,12.891247279982974,1.5120718097177535,2.6756
high_energy_cost_50pct,55,13:45,0.0,7.109499999999315,12,8.634457289999528,2.9023277078784524,13.03678499787798,1.5098557512094304,2.6756
high_energy_cost_50pct,56,14:00,0.0,7.769699999999176,12,8.82426478999938,2.966173854537095,13.290438644536474,1.5061241883401608,2.6756
high_energy_cost_50pct,57,14:15,0.0,7.339999999999492,12,8.700726039999578,2.924618736059063,13.125344776058641,1.5085344275544248,2.6756
high_energy_cost_50pct,58,14:30,0.0,7.289199999999511,12,8.686121039999474,2.919706006204045,13.105827046203519,1.5088239026202095,2.6756
high_energy_cost_50pct,59,14:45,0.0,8.285499999999303,14,10.1363572899998,3.4075265417849536,15.043883831784754,1.4841509036610774,2.6756
high_energy_cost_50pct,60,15:00,0.0,8.480699999998961,15,10.774377289999702,3.622139338914536,15.896516628914238,1.4754000348278762,2.6756
high_energy_cost_50pct,61,15:15,0.0,8.113499999998709,15,10.668807289999629,3.5866284254745366,15.755435715474166,1.4767757338950598,2.6756
high_energy_cost_50pct,62,15:30,0.0,7.199299999998999,13,9.242174789999329,3.10674755763171,13.848922347631039,1.4984484347360028,2.6756
high_energy_cost_50pct,63,15:45,0.0,6.308699999999277,12,8.404227289999792,2.824884517566085,12.729111807565877,1.5146082284938052,2.6756
high_energy_cost_50pct,64,16:00,0.0,6.390699999999612,12,8.427802289999889,2.8328145145761336,12.760616804576022,1.5141096534404097,2.6756
high_energy_cost_50pct,65,16:15,0.0,6.441499999999593,12,8.442407289999883,2.8377272444311163,12.780134534431,1.5138021769654726,2.6756
high_energy_cost_50pct,66,16:30,0.0,6.957299999999492,12,8.590699789999855,2.887608859769724,12.978308649769579,1.5107394004010235,2.6756
high_energy_cost_50pct,67,16:45,0.0,6.585999999999473,12,8.483951039999464,2.851701446479119,12.835652486478583,1.512933352156567,2.6756
high_energy_cost_50pct,68,17:00,0.0,5.722699999999492,12,8.235752289999853,2.7682140511286715,12.503966341128525,1.5182543015907959,2.6756
high_energy_cost_50pct,69,17:15,0.0,6.1288999999993905,12,8.352534789999824,2.807496548512427,12.660031338512251,1.5157112968472315,2.6756
high_energy_cost_50pct,70,17:30,0.0,7.413899999999245,12,8.721972289999783,2.931765404096206,13.15373769409599,1.508115052048201,2.6756
high_energy_cost_50pct,71,17:45,0.0,6.066299999999416,12,8.334537289999833,2.8014426727462443,12.635979962746077,1.5160985574936854,2.6756
high_energy_cost_50pct,72,18:00,0.0,7.191299999999416,14,9.82177478999983,3.301709435341552,14.623484225341382,1.4888840905037322,2.6756
high_energy_cost_50pct,73,18:15,0.0,9.222599999999375,17,11.75914957999982,3.9513184072357017,17.21046798723552,1.463581007295579,2.6756
high_energy_cost_50pct,74,18:30,0.0,10.128799999998819,19,13.18348207999966,4.430425616833496,19.113907696833156,1.4498375756000306,2.6756
high_energy_cost_50pct,75,18:45,0.0,10.331999999999198,21,14.40570207999977,4.841547608162578,20.74724968816235,1.440210936818338,2.6756
